date,CSI300,STAR50,CGB
2020-11-10,5.021,,120.768
2020-11-11,4.974,,120.752
2020-11-12,4.971,,120.701
2020-11-13,4.92,,120.442
2020-11-16,4.973,1.465,120.646
2020-11-17,4.964,1.436,120.579
2020-11-18,4.957,1.424,120.412
2020-11-19,4.999,1.438,120.347
2020-11-20,5.014,1.435,120.347
2020-11-23,5.072,1.422,120.657
2020-11-24,5.04,1.416,120.524
2020-11-25,4.978,1.393,120.585
2020-11-26,4.985,1.39,120.551
2020-11-27,5.056,1.392,120.504
2020-11-30,5.031,1.391,120.786
2020-12-01,5.142,1.409,120.599
2020-12-02,5.131,1.414,120.633
2020-12-03,5.129,1.417,120.542
2020-12-04,5.14,1.411,120.735
2020-12-07,5.096,1.412,120.668
2020-12-08,5.08,1.408,120.718
2020-12-09,5.02,1.38,120.764
2020-12-10,5.01,1.383,120.763
2020-12-11,4.954,1.396,120.623
2020-12-14,4.998,1.413,120.515
2020-12-15,5.013,1.406,120.718
2020-12-16,5.023,1.388,120.784
2020-12-17,5.094,1.406,120.736
2020-12-18,5.065,1.403,120.666
2020-12-21,5.11,1.43,120.809
2020-12-22,5.033,1.403,121.028
2020-12-23,5.074,1.417,121.098
2020-12-24,5.074,1.393,121.121
2020-12-25,5.116,1.394,121.251
2020-12-28,5.13,1.38,121.131
2020-12-29,5.114,1.381,121.2
2020-12-30,5.178,1.403,121.266
2020-12-31,5.287,1.434,121.312
2021-01-04,5.334,1.464,121.124
2021-01-05,5.433,1.468,121.242
2021-01-06,5.482,1.458,121.493
2021-01-07,5.599,1.429,121.564
2021-01-08,5.571,1.423,121.509
2021-01-11,5.508,1.437,121.392
2021-01-12,5.668,1.45,121.518
2021-01-13,5.646,1.454,121.757
2021-01-14,5.543,1.498,122.008
2021-01-15,5.526,1.492,121.86
2021-01-18,5.513,1.526,121.692
2021-01-19,5.438,1.492,121.468
2021-01-20,5.468,1.524,121.663
2021-01-21,5.562,1.526,121.81
2021-01-22,5.565,1.536,121.865
2021-01-25,5.631,1.542,121.868
2021-01-26,5.511,1.524,121.452
2021-01-27,5.521,1.503,121.48
2021-01-28,5.385,1.469,121.386
2021-01-29,5.348,1.467,121.41
2021-02-01,5.411,1.467,121.529
2021-02-02,5.491,1.478,121.591
2021-02-03,5.485,1.456,121.666
2021-02-04,5.474,1.435,121.638
2021-02-05,5.482,1.414,121.447
2021-02-08,5.554,1.425,121.307
2021-02-09,5.692,1.472,121.294
2021-02-10,5.807,1.478,121.466
2021-02-18,5.764,1.476,121.349
2021-02-19,5.796,1.472,121.365
2021-02-22,5.589,1.433,121.419
2021-02-23,5.574,1.433,121.549
2021-02-24,5.427,1.409,121.771
2021-02-25,5.478,1.393,121.756
2021-02-26,5.329,1.368,121.508
2021-03-01,5.418,1.4,121.503
2021-03-02,5.349,1.392,121.983
2021-03-03,5.454,1.4,121.904
2021-03-04,5.287,1.366,121.852
2021-03-05,5.266,1.37,121.991
